species,Freeze.tmin.lo
Abies veitchii,FreezingExposed
Abies vejarii,FreezingUnexposed
Abrahamia deflexa,FreezingUnexposed
Abronia villosa,FreezingExposed
Abrophyllum ornans,FreezingUnexposed
Abrotanella linearis,FreezingExposed
Abuta grandifolia,FreezingUnexposed
Abuta grisebachii,FreezingUnexposed
Abuta imene,FreezingUnexposed
Abuta pahni,FreezingUnexposed
Abuta panamensis,FreezingUnexposed
Abuta panurensis,FreezingUnexposed
Abuta racemosa,FreezingUnexposed
Abuta rufescens,FreezingUnexposed
Abuta solimoesensis,FreezingUnexposed
Abutilon angulatum,FreezingUnexposed
Abutilon auritum,FreezingUnexposed
Abutilon cryptopetalum,FreezingUnexposed
Abutilon fraseri,FreezingUnexposed
Abutilon fruticosum,FreezingExposed
Abutilon micropetalum,FreezingUnexposed
Abutilon otocarpum,FreezingUnexposed
Abutilon pannosum,FreezingUnexposed
Abutilon theophrasti,FreezingExposed
Acacia acradenia,FreezingUnexposed
Acacia acuminata,FreezingUnexposed
Acacia adenocalyx,FreezingUnexposed
Acacia adoxa,FreezingUnexposed
Acacia adsurgens,FreezingUnexposed
Acacia adunca,FreezingUnexposed
Acacia aestivalis,FreezingUnexposed
Acacia albicorticata,FreezingUnexposed
Acacia albida,FreezingUnexposed
Acacia alleniana,FreezingUnexposed
Acacia altiscandens,FreezingUnexposed
Acacia amblyophylla,FreezingUnexposed
Acacia ammobia,FreezingUnexposed
Acacia ampliata,FreezingUnexposed
Acacia ampliceps,FreezingUnexposed
Acacia amythethophylla,FreezingUnexposed
Acacia ancistrocarpa,FreezingUnexposed
Acacia aneura,FreezingUnexposed
Acacia anfractuosa,FreezingUnexposed
Acacia angusta,FreezingUnexposed
Acacia angustissima,FreezingExposed
Acacia anthochaera,FreezingUnexposed
Acacia arabica,FreezingUnexposed
Acacia arafurica,FreezingUnexposed
Acacia argyraea,FreezingUnexposed
Acacia armitii,FreezingUnexposed
Acacia aroma,FreezingExposed
Acacia arrecta,FreezingUnexposed
Acacia assimilis,FreezingUnexposed
Acacia ataxacantha,FreezingUnexposed
Acacia atkinsiana,FreezingUnexposed
Acacia atramentaria,FreezingExposed
Acacia aulacocarpa,FreezingUnexposed
Acacia auriculiformis,FreezingUnexposed
Acacia ausfeldii,FreezingUnexposed
Acacia baileyana,FreezingExposed
Acacia bakeri,FreezingUnexposed
Acacia bancroftiorum,FreezingUnexposed
Acacia berlandieri,FreezingUnexposed
Acacia bidwillii,FreezingUnexposed
Acacia binervata,FreezingUnexposed
Acacia binervia,FreezingExposed
Acacia bivenosa,FreezingUnexposed
Acacia blakelyi,FreezingUnexposed
Acacia boliviana,FreezingExposed
Acacia bonariensis,FreezingUnexposed
Acacia borleae,FreezingUnexposed
Acacia brachybotrya,FreezingUnexposed
Acacia brachystachya,FreezingUnexposed
Acacia brevispica,FreezingUnexposed
Acacia brumalis,FreezingUnexposed
Acacia bulgaensis,FreezingUnexposed
Acacia burkei,FreezingUnexposed
Acacia burkittii,FreezingUnexposed
Acacia caesiella,FreezingUnexposed
Acacia caffra,FreezingExposed
Acacia calcicola,FreezingUnexposed
Acacia cambagei,FreezingUnexposed
Acacia cana,FreezingUnexposed
Acacia cangaiensis,FreezingUnexposed
Acacia cardiophylla,FreezingUnexposed
Acacia carneorum,FreezingUnexposed
Acacia caroleae,FreezingUnexposed
Acacia catechu,FreezingUnexposed
Acacia caven,FreezingExposed
Acacia celastrifolia,FreezingUnexposed
Acacia chartacea,FreezingUnexposed
Acacia chisholmii,FreezingUnexposed
Acacia cincinnata,FreezingUnexposed
Acacia citrinoviridis,FreezingUnexposed
Acacia clunies-rossiae,FreezingUnexposed
Acacia cochliacantha,FreezingUnexposed
Acacia cognata,FreezingUnexposed
Acacia colei,FreezingUnexposed
Acacia colletioides,FreezingUnexposed
Acacia collinsii,FreezingUnexposed
Acacia complanata,FreezingUnexposed
Acacia concurrens,FreezingUnexposed
Acacia conferta,FreezingUnexposed
Acacia confusa,FreezingUnexposed
Acacia conspersa,FreezingUnexposed
Acacia coolgardiensis,FreezingUnexposed
Acacia coriacea,FreezingUnexposed
Acacia cornigera,FreezingUnexposed
Acacia covenyi,FreezingExposed
Acacia cowaniana,FreezingUnexposed
Acacia cowleana,FreezingUnexposed
Acacia craspedocarpa,FreezingUnexposed
Acacia crassa,FreezingUnexposed
Acacia crassicarpa,FreezingUnexposed
Acacia cretacea,FreezingUnexposed
Acacia cretata,FreezingUnexposed
Acacia cultriformis,FreezingExposed
Acacia cuspidifolia,FreezingUnexposed
Acacia cuthbertsonii,FreezingUnexposed
Acacia cyanophylla,FreezingUnexposed
Acacia cyclops,FreezingUnexposed
Acacia cyperophylla,FreezingUnexposed
Acacia davyi,FreezingUnexposed
Acacia dawsonii,FreezingExposed
Acacia dealbata,FreezingExposed
Acacia deanei,FreezingExposed
Acacia debilis,FreezingUnexposed
Acacia decora,FreezingUnexposed
Acacia decurrens,FreezingExposed
Acacia delibrata,FreezingUnexposed
Acacia demissa,FreezingUnexposed
Acacia dempsteri,FreezingUnexposed
Acacia desertorum,FreezingUnexposed
Acacia desmondii,FreezingUnexposed
Acacia dictyophleba,FreezingUnexposed
Acacia didyma,FreezingUnexposed
Acacia dietrichiana,FreezingUnexposed
Acacia difficilis,FreezingUnexposed
Acacia difformis,FreezingUnexposed
Acacia dimidiata,FreezingUnexposed
Acacia ditricha,FreezingUnexposed
Acacia dodonaeifolia,FreezingUnexposed
Acacia donaldsonii,FreezingUnexposed
Acacia doratoxylon,FreezingExposed
Acacia dunnii,FreezingUnexposed
Acacia duriuscula,FreezingUnexposed
Acacia echinuliflora,FreezingUnexposed
Acacia elata,FreezingUnexposed
Acacia ephedroides,FreezingUnexposed
Acacia eremaea,FreezingUnexposed
Acacia erioloba,FreezingUnexposed
Acacia eriopoda,FreezingUnexposed
Acacia erubescens,FreezingUnexposed
Acacia estrophiolata,FreezingUnexposed
Acacia excelsa,FreezingUnexposed
Acacia exilis,FreezingUnexposed
Acacia exuvialis,FreezingUnexposed
Acacia falcata,FreezingUnexposed
Acacia falciformis,FreezingExposed
Acacia farnesiana,FreezingUnexposed
Acacia fasciculifera,FreezingUnexposed
Acacia fauntleroyi,FreezingUnexposed
Acacia filicifolia,FreezingExposed
Acacia fimbriata,FreezingUnexposed
Acacia floribunda,FreezingUnexposed
Acacia floydii,FreezingUnexposed
Acacia frigescens,FreezingExposed
Acacia fulva,FreezingUnexposed
Acacia furcatispina,FreezingExposed
Acacia galeata,FreezingUnexposed
Acacia galpinii,FreezingUnexposed
Acacia gardneri,FreezingUnexposed
Acacia gaumeri,FreezingUnexposed
Acacia genistifolia,FreezingExposed
Acacia georgensis,FreezingUnexposed
Acacia georginae,FreezingUnexposed
Acacia gerrardii,FreezingUnexposed
Acacia gibbosa,FreezingUnexposed
Acacia gillii,FreezingUnexposed
Acacia glaucocaesia,FreezingUnexposed
Acacia glaucocarpa,FreezingUnexposed
Acacia glaucoptera,FreezingUnexposed
Acacia glomerosa,FreezingUnexposed
Acacia goetzei,FreezingUnexposed
Acacia gonoclada,FreezingUnexposed
Acacia gracillima,FreezingUnexposed
Acacia grasbyi,FreezingUnexposed
Acacia grayana,FreezingUnexposed
Acacia greggii,FreezingExposed
Acacia haematoxylon,FreezingExposed
Acacia hakeoides,FreezingUnexposed
Acacia hammondii,FreezingUnexposed
Acacia harpophylla,FreezingUnexposed
Acacia havilandiorum,FreezingUnexposed
Acacia hayesii,FreezingUnexposed
Acacia hebeclada,FreezingUnexposed
Acacia hemignosta,FreezingUnexposed
Acacia hemsleyi,FreezingUnexposed
Acacia hereroensis,FreezingUnexposed
Acacia heteroclita,FreezingUnexposed
Acacia hindsii,FreezingUnexposed
Acacia holosericea,FreezingUnexposed
Acacia holotricha,FreezingUnexposed
Acacia homalophylla,FreezingUnexposed
Acacia howittii,FreezingExposed
Acacia huegelii,FreezingUnexposed
Acacia hyaloneura,FreezingUnexposed
Acacia implexa,FreezingExposed
Acacia inophloia,FreezingUnexposed
Acacia intorta,FreezingUnexposed
Acacia irrorata,FreezingUnexposed
Acacia ixodes,FreezingUnexposed
Acacia jamesiana,FreezingUnexposed
Acacia jennerae,FreezingUnexposed
Acacia jensenii,FreezingUnexposed
Acacia jibberdingensis,FreezingExposed
Acacia jucunda,FreezingUnexposed
Acacia julifera,FreezingUnexposed
Acacia karroo,FreezingExposed
Acacia kelleri,FreezingUnexposed
Acacia kempeana,FreezingUnexposed
Acacia kenneallyi,FreezingUnexposed
Acacia kettlewelliae,FreezingExposed
Acacia koa,FreezingUnexposed
Acacia laccata,FreezingUnexposed
Acacia lasiocalyx,FreezingUnexposed
Acacia latescens,FreezingUnexposed
Acacia latifolia,FreezingUnexposed
Acacia latzii,FreezingUnexposed
Acacia legnota,FreezingUnexposed
Acacia leiocalyx,FreezingUnexposed
Acacia leiophylla,FreezingUnexposed
Acacia leptoloba,FreezingUnexposed
Acacia leptostachya,FreezingUnexposed
Acacia leucoclada,FreezingExposed
Acacia leucophloea,FreezingUnexposed
Acacia ligulata,FreezingUnexposed
Acacia ligustrina,FreezingUnexposed
Acacia linearifolia,FreezingUnexposed
Acacia lineata,FreezingUnexposed
Acacia loderi,FreezingUnexposed
Acacia longifolia,FreezingExposed
Acacia longissima,FreezingUnexposed
Acacia loretensis,FreezingUnexposed
Acacia loroloba,FreezingUnexposed
Acacia luederitzii,FreezingUnexposed
Acacia lutea,FreezingUnexposed
Acacia lycopodiifolia,FreezingUnexposed
Acacia lysiphloia,FreezingUnexposed
Acacia mabellae,FreezingExposed
Acacia macdonnellensis,FreezingUnexposed
Acacia maconochieana,FreezingUnexposed
Acacia macracantha,FreezingUnexposed
Acacia macradenia,FreezingUnexposed
Acacia macrostachya,FreezingUnexposed
Acacia maidenii,FreezingUnexposed
Acacia maitlandii,FreezingUnexposed
Acacia mangium,FreezingUnexposed
Acacia masliniana,FreezingUnexposed
Acacia matthewii,FreezingUnexposed
Acacia mayana,FreezingUnexposed
Acacia mearnsii,FreezingExposed
Acacia meiosperma,FreezingUnexposed
Acacia melanoceras,FreezingUnexposed
Acacia melanoxylon,FreezingExposed
Acacia mellifera,FreezingUnexposed
Acacia merinthophora,FreezingUnexposed
Acacia microbotrya,FreezingUnexposed
Acacia mimula,FreezingUnexposed
Acacia minutifolia,FreezingUnexposed
Acacia modesta,FreezingExposed
Acacia montana,FreezingUnexposed
Acacia monticola,FreezingUnexposed
Acacia mountfordiae,FreezingUnexposed
Acacia mucronata,FreezingExposed
Acacia muelleriana,FreezingUnexposed
Acacia multisiliqua,FreezingUnexposed
Acacia multistipulosa,FreezingUnexposed
Acacia murrayana,FreezingUnexposed
Acacia myrtifolia,FreezingUnexposed
Acacia nebrownii,FreezingUnexposed
Acacia neriifolia,FreezingExposed
Acacia neurocarpa,FreezingUnexposed
Acacia neurophylla,FreezingUnexposed
Acacia nigrescens,FreezingUnexposed
Acacia nilotica,FreezingUnexposed
Acacia nitidula,FreezingUnexposed
Acacia notabilis,FreezingUnexposed
Acacia nuperrima,FreezingUnexposed
Acacia nyssophylla,FreezingUnexposed
Acacia obliquinervia,FreezingExposed
Acacia obtusifolia,FreezingUnexposed
Acacia oldfieldii,FreezingUnexposed
Acacia olgana,FreezingUnexposed
Acacia omalophylla,FreezingUnexposed
Acacia oncinocarpa,FreezingUnexposed
Acacia oraria,FreezingUnexposed
Acacia orites,FreezingUnexposed
Acacia orthocarpa,FreezingUnexposed
Acacia oshanesii,FreezingUnexposed
Acacia oswaldii,FreezingUnexposed
Acacia oxycedrus,FreezingUnexposed
Acacia pachyacra,FreezingUnexposed
Acacia pachycarpa,FreezingUnexposed
Acacia pachyphloia,FreezingUnexposed
Acacia pallidifolia,FreezingUnexposed
Acacia palustris,FreezingUnexposed
Acacia paniculata,FreezingUnexposed
Acacia papyrocarpa,FreezingUnexposed
Acacia paradoxa,FreezingExposed
Acacia parramattensis,FreezingExposed
Acacia parvipinnula,FreezingUnexposed
Acacia pataczekii,FreezingUnexposed
Acacia pellita,FreezingUnexposed
Acacia pendula,FreezingUnexposed
Acacia pennata,FreezingExposed
Acacia penninervis,FreezingExposed
Acacia pentadenia,FreezingUnexposed
Acacia perangusta,FreezingUnexposed
Acacia permixta,FreezingUnexposed
Acacia petraea,FreezingUnexposed
Acacia peuce,FreezingUnexposed
Acacia phlebophylla,FreezingExposed
Acacia pickardii,FreezingUnexposed
Acacia platycarpa,FreezingUnexposed
Acacia plectocarpa,FreezingUnexposed
Acacia podalyriifolia,FreezingUnexposed
Acacia polifolia,FreezingUnexposed
Acacia polyacantha,FreezingUnexposed
Acacia polyphylla,FreezingUnexposed
Acacia praecox,FreezingUnexposed
Acacia prainii,FreezingUnexposed
Acacia pravissima,FreezingExposed
Acacia prominens,FreezingUnexposed
Acacia pruinocarpa,FreezingUnexposed
Acacia pruinosa,FreezingExposed
Acacia pubescens,FreezingUnexposed
Acacia pubicosta,FreezingUnexposed
Acacia pubifolia,FreezingExposed
Acacia pubirhachis,FreezingUnexposed
Acacia pulchella,FreezingUnexposed
Acacia pycnantha,FreezingExposed
Acacia pycnostachya,FreezingUnexposed
Acacia quadrimarginea,FreezingUnexposed
Acacia racospermoides,FreezingUnexposed
Acacia raddiana,FreezingUnexposed
Acacia ramulosa,FreezingUnexposed
Acacia reficiens,FreezingExposed
Acacia rehmanniana,FreezingUnexposed
Acacia resinimarginea,FreezingUnexposed
Acacia resinistipulea,FreezingUnexposed
Acacia retinervis,FreezingUnexposed
Acacia retinodes,FreezingUnexposed
Acacia retivenea,FreezingUnexposed
Acacia rhodophloia,FreezingUnexposed
Acacia rhodoxylon,FreezingUnexposed
Acacia riceana,FreezingUnexposed
Acacia rigens,FreezingUnexposed
Acacia rigidula,FreezingUnexposed
Acacia riparia,FreezingUnexposed
Acacia rivalis,FreezingUnexposed
Acacia robusta,FreezingUnexposed
Acacia roemeriana,FreezingExposed
Acacia rorudiana,FreezingUnexposed
Acacia rossei,FreezingUnexposed
Acacia roycei,FreezingUnexposed
Acacia rubida,FreezingExposed
Acacia saliciformis,FreezingUnexposed
Acacia salicina,FreezingUnexposed
Acacia saligna,FreezingUnexposed
Acacia schinoides,FreezingUnexposed
Acacia schweinfurthii,FreezingUnexposed
Acacia scirpifolia,FreezingUnexposed
Acacia sclerosperma,FreezingUnexposed
Acacia scopulorum,FreezingUnexposed
Acacia semilunata,FreezingUnexposed
Acacia semirigida,FreezingUnexposed
Acacia senegal,FreezingUnexposed
Acacia sericata,FreezingUnexposed
Acacia sericoflora,FreezingUnexposed
Acacia sessiliceps,FreezingUnexposed
Acacia shirleyi,FreezingUnexposed
Acacia sibilans,FreezingUnexposed
Acacia siculiformis,FreezingExposed
Acacia sieberiana,FreezingUnexposed
Acacia signata,FreezingUnexposed
Acacia sophorae,FreezingUnexposed
Acacia speckii,FreezingUnexposed
Acacia spectabilis,FreezingUnexposed
Acacia spinescens,FreezingUnexposed
Acacia spirorbis,FreezingUnexposed
Acacia spondylophylla,FreezingUnexposed
Acacia steedmanii,FreezingUnexposed
Acacia stenophylla,FreezingUnexposed
Acacia stereophylla,FreezingUnexposed
Acacia stipuligera,FreezingUnexposed
Acacia storyi,FreezingUnexposed
Acacia stowardii,FreezingUnexposed
Acacia striatifolia,FreezingUnexposed
Acacia stricta,FreezingUnexposed
Acacia stuhlmannii,FreezingUnexposed
Acacia suaveolens,FreezingUnexposed
Acacia suberosa,FreezingUnexposed
Acacia subtessarogona,FreezingUnexposed
Acacia subulata,FreezingUnexposed
Acacia sutherlandii,FreezingUnexposed
Acacia swazica,FreezingUnexposed
Acacia symonii,FreezingUnexposed
Acacia synchronicia,FreezingUnexposed
Acacia tenuifolia,FreezingUnexposed
Acacia tenuinervis,FreezingUnexposed
Acacia tenuissima,FreezingUnexposed
Acacia terminalis,FreezingExposed
Acacia tessellata,FreezingUnexposed
Acacia tetragonophylla,FreezingUnexposed
Acacia thomsonii,FreezingUnexposed
Acacia tindaleae,FreezingUnexposed
Acacia tortilis,FreezingUnexposed
Acacia torulosa,FreezingUnexposed
Acacia trachycarpa,FreezingUnexposed
Acacia trachyphloia,FreezingExposed
Acacia translucens,FreezingUnexposed
Acacia trinalis,FreezingUnexposed
Acacia trinervata,FreezingUnexposed
Acacia trineura,FreezingUnexposed
Acacia triptera,FreezingExposed
Acacia triptycha,FreezingUnexposed
Acacia tropica,FreezingUnexposed
Acacia truncata,FreezingUnexposed
Acacia tucumanensis,FreezingExposed
Acacia tumida,FreezingUnexposed
Acacia tysonii,FreezingUnexposed
Acacia ulicifolia,FreezingExposed
Acacia umbellata,FreezingUnexposed
Acacia uncifera,FreezingUnexposed
Acacia uncinata,FreezingExposed
Acacia undoolyana,FreezingUnexposed
Acacia unguicula,FreezingUnexposed
Acacia urophylla,FreezingUnexposed
Acacia valida,FreezingUnexposed
Acacia verniciflua,FreezingExposed
Acacia veronica,FreezingUnexposed
Acacia verricula,FreezingUnexposed
Acacia verticillata,FreezingUnexposed
Acacia victoriae,FreezingUnexposed
Acacia viscidula,FreezingExposed
Acacia visco,FreezingExposed
Acacia wanyu,FreezingUnexposed
Acacia wardellii,FreezingUnexposed
Acacia wattsiana,FreezingUnexposed
Acacia websteri,FreezingUnexposed
Acacia wilhelmiana,FreezingUnexposed
Acacia willardiana,FreezingUnexposed
Acacia wrightii,FreezingUnexposed
Acacia xanthina,FreezingUnexposed
Acacia xanthophloea,FreezingUnexposed
Acacia xiphophylla,FreezingUnexposed
Acacia yorkrakinensis,FreezingUnexposed
Acaciella angustissima,FreezingExposed
Acaena anserinifolia,FreezingExposed
Acaena antarctica,FreezingExposed
Acaena magellanica,FreezingExposed
Acaena minor,FreezingUnexposed
Acaena novae-zelandiae,FreezingExposed
Acaena tenera,FreezingExposed
Acalypha arvensis,FreezingUnexposed
Acalypha australis,FreezingExposed
Acalypha bipartita,FreezingUnexposed
Acalypha caturus,FreezingUnexposed
Acalypha chirindica,FreezingUnexposed
Acalypha ciliata,FreezingUnexposed
Acalypha communis,FreezingUnexposed
Acalypha cuneata,FreezingUnexposed
Acalypha diversifolia,FreezingUnexposed
Acalypha fimbriata,FreezingUnexposed
Acalypha fruticosa,FreezingUnexposed
Acalypha grandis,FreezingUnexposed
Acalypha indica,FreezingUnexposed
Acalypha lanceolata,FreezingUnexposed
Acalypha macrostachya,FreezingUnexposed
Acalypha mapirensis,FreezingUnexposed
Acalypha monococca,FreezingExposed
Acalypha ornata,FreezingUnexposed
Acalypha ostryifolia,FreezingExposed
Acalypha peduncularis,FreezingUnexposed
Acalypha phleoides,FreezingExposed
Acalypha punctata,FreezingExposed
Acalypha rhomboidea,FreezingExposed
Acalypha skutchii,FreezingUnexposed
Acalypha stachyura,FreezingUnexposed
Acalypha virginica,FreezingExposed
Acampe papillosa,FreezingUnexposed
Acamptopappus shockleyi,FreezingExposed
Acanthephippium sylhetense,FreezingExposed
Acanthocarpus preissii,FreezingUnexposed
Acanthocladium dockeri,FreezingUnexposed
Acantholimon diapensioides,FreezingExposed
Acantholippia deserticola,FreezingExposed
Acantholippia seriphioides,FreezingExposed
Acantholippia trifida,FreezingExposed
Acanthopanax sciadophylloides,FreezingExposed
Acanthospermum australe,FreezingExposed
Acanthostachys strobilacea,FreezingUnexposed
Acanthosyris annonagustata,FreezingUnexposed
Acanthosyris falcata,FreezingUnexposed
Acanthosyris glabrata,FreezingUnexposed
Acanthus ilicifolius,FreezingUnexposed
Acanthus montanus,FreezingUnexposed
Acca sellowiana,FreezingExposed
Acer acuminatum,FreezingExposed
Acer amplum,FreezingExposed
Acer argutum,FreezingExposed
Acer barbatum,FreezingExposed
Acer barbinerve,FreezingExposed
Acer buergerianum,FreezingExposed
Acer caesium,FreezingExposed
Acer campbellii,FreezingExposed
Acer campestre,FreezingExposed
Acer capillipes,FreezingExposed
Acer cappadocicum,FreezingExposed
Acer carpinifolium,FreezingExposed
Acer caudatum,FreezingExposed
Acer circinatum,FreezingExposed
Acer cissifolium,FreezingExposed
Acer cordatum,FreezingUnexposed
Acer crataegifolium,FreezingExposed
Acer davidii,FreezingExposed
Acer diabolicum,FreezingExposed
Acer distylum,FreezingExposed
Acer erianthum,FreezingExposed
Acer garrettii,FreezingUnexposed
Acer ginnala,FreezingExposed
Acer glabrum,FreezingExposed
Acer grandidentatum,FreezingExposed
Acer griseum,FreezingExposed
Acer grosseri,FreezingExposed
Acer henryi,FreezingExposed
Acer japonicum,FreezingExposed
Acer kungshanense,FreezingExposed
Acer laevigatum,FreezingExposed
Acer laurinum,FreezingUnexposed
Acer leucoderme,FreezingExposed
Acer lobelii,FreezingExposed
Acer macrophyllum,FreezingExposed
Acer mandshuricum,FreezingExposed
Acer maximowiczianum,FreezingExposed
Acer micranthum,FreezingExposed
Acer miyabei,FreezingExposed
Acer mono,FreezingExposed
Acer monspessulanum,FreezingExposed
Acer morifolium,FreezingExposed
Acer negundo,FreezingExposed
Acer nigrum,FreezingExposed
Acer nikoense,FreezingExposed
Acer oblongum,FreezingExposed
Acer obtusifolium,FreezingUnexposed
Acer opalus,FreezingExposed
Acer palmatum,FreezingExposed
Acer pectinatum,FreezingExposed
Acer pensylvanicum,FreezingExposed
Acer pictum,FreezingExposed
Acer platanoides,FreezingExposed
Acer pseudoplatanus,FreezingExposed
Acer pseudosieboldianum,FreezingExposed
Acer rubrum,FreezingExposed
Acer rufinerve,FreezingExposed
Acer saccharinum,FreezingExposed
Acer saccharum,FreezingExposed
Acer shirasawanum,FreezingExposed
Acer sieboldianum,FreezingExposed
Acer sinense,FreezingExposed
Acer spicatum,FreezingExposed
Acer stachyophyllum,FreezingExposed
Acer sterculiaceum,FreezingExposed
Acer syriacum,FreezingUnexposed
Acer tataricum,FreezingExposed
Acer tegmentosum,FreezingExposed
Acer trautvetteri,FreezingExposed
Acer triflorum,FreezingExposed
Acer truncatum,FreezingExposed
Acer tschonoskii,FreezingExposed
Acer ukurunduense,FreezingExposed
Aceras anthropophorum,FreezingExposed
Aceratium concinnum,FreezingUnexposed
Aceratium doggrellii,FreezingUnexposed
Aceratium megalospermum,FreezingUnexposed
Aceratium sericeum,FreezingUnexposed
Achatocarpus gracilis,FreezingUnexposed
Achatocarpus nigricans,FreezingUnexposed
Achatocarpus praecox,FreezingUnexposed
Achillea atrata,FreezingExposed
Achillea cartilaginea,FreezingExposed
Achillea clavennae,FreezingExposed
Achillea clusiana,FreezingExposed
Achillea filipendulina,FreezingExposed
Achillea macrophylla,FreezingExposed
Achillea millefolium,FreezingExposed
Achillea moschata,FreezingExposed
Achillea nana,FreezingExposed
Achillea nobilis,FreezingExposed
Achillea ptarmica,FreezingExposed
Achlys triphylla,FreezingExposed
Achnatherum aridum,FreezingExposed
Achnatherum calamagrostis,FreezingExposed
Achnatherum contractum,FreezingExposed
Achnatherum diegoense,FreezingUnexposed
Achnatherum inebrians,FreezingExposed
Achnatherum parishii,FreezingExposed
Achnatherum sibiricum,FreezingExposed
Achnatherum splendens,FreezingExposed
Achyranthes aspera,FreezingExposed
Achyranthes bidentata,FreezingExposed
Achyrospermum cryptanthum,FreezingUnexposed
Achyrospermum urens,FreezingUnexposed
Acianthus caudatus,FreezingUnexposed
Acianthus exsertus,FreezingExposed
Acicarpha tribuloides,FreezingExposed
Acidonia microcarpa,FreezingUnexposed
Acidoton nicaraguensis,FreezingUnexposed
Acinos alpinus,FreezingExposed
Acioa guianensis,FreezingUnexposed
Acioa pallescens,FreezingUnexposed
Acioa staudtii,FreezingUnexposed
Aciphylla aurea,FreezingExposed
Acmanthera latifolia,FreezingUnexposed
Acmena acuminatissima,FreezingUnexposed
Acmena divaricata,FreezingUnexposed
Acmena graveolens,FreezingUnexposed
Acmena hemilampra,FreezingUnexposed
Acmena ingens,FreezingUnexposed
Acmena mackinnoniana,FreezingUnexposed
Acmena resa,FreezingUnexposed
Acmena smithii,FreezingUnexposed
Acmenosperma claviflorum,FreezingUnexposed
Acmopyle pancheri,FreezingUnexposed
Acmopyle sahniana,FreezingUnexposed
Acokanthera oblongifolia,FreezingUnexposed
Acokanthera oppositifolia,FreezingUnexposed
Acokanthera rotundata,FreezingUnexposed
Acokanthera schimperi,FreezingUnexposed
Acomastylis rossii,FreezingExposed
Aconitum carmichaeli,FreezingUnexposed
Aconitum gymnandrum,FreezingExposed
Aconitum napellus,FreezingExposed
Aconitum paniculatum,FreezingExposed
Aconitum variegatum,FreezingExposed
Aconitum vulparia,FreezingExposed
Aconogonon campanulatum,FreezingExposed
Acorus americanus,FreezingExposed
Acorus calamus,FreezingExposed
Acorus gramineus,FreezingExposed
Acosmium dasycarpum,FreezingUnexposed
Acosmium nitens,FreezingUnexposed
Acosmium panamense,FreezingUnexposed
Acosmium praeclarum,FreezingUnexposed
Acradenia euodiiformis,FreezingUnexposed
Acradenia frankliniae,FreezingUnexposed
Acridocarpus alternifolius,FreezingUnexposed
Acridocarpus camerunensis,FreezingUnexposed
Acridocarpus longifolius,FreezingUnexposed
Acridocarpus macrocalyx,FreezingUnexposed
Acridocarpus monodii,FreezingUnexposed
Acridocarpus natalitius,FreezingUnexposed
Acrisione denticulata,FreezingExposed
Acrocarpus fraxinifolius,FreezingUnexposed
Acroceras excavatum,FreezingUnexposed
Acroceras zizanioides,FreezingUnexposed
Acrocomia aculeata,FreezingUnexposed
Acronychia acidula,FreezingUnexposed
Acronychia acronychioides,FreezingUnexposed
Acronychia baeuerlenii,FreezingUnexposed
Acronychia goniocarpa,FreezingUnexposed
Acronychia imperforata,FreezingUnexposed
Acronychia laevis,FreezingUnexposed
Acronychia melicopoides,FreezingUnexposed
Acronychia oblongifolia,FreezingUnexposed
Acronychia octandra,FreezingUnexposed
Acronychia pedunculata,FreezingUnexposed
Acronychia pubescens,FreezingUnexposed
